etiqueta,Delito,Alcaldia_hecho,hora_clasificada
3,32.0,5.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,1.0,4.0
3,32.0,1.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,3.0,4.0
2,22.0,7.0,4.0
3,32.0,12.0,4.0
3,32.0,13.0,4.0
3,32.0,4.0,4.0
3,31.0,12.0,4.0
3,32.0,11.0,4.0
3,31.0,2.0,4.0
2,21.0,5.0,4.0
3,31.0,5.0,4.0
3,32.0,4.0,4.0
3,31.0,8.0,4.0
3,32.0,8.0,4.0
3,32.0,13.0,4.0
2,21.0,9.0,4.0
3,32.0,4.0,4.0
2,21.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
2,21.0,2.0,4.0
2,22.0,12.0,4.0
3,32.0,7.0,4.0
3,32.0,7.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,31.0,6.0,4.0
3,32.0,6.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,1.0,4.0
3,32.0,1.0,4.0
3,32.0,11.0,4.0
3,32.0,6.0,4.0
3,32.0,9.0,4.0
3,32.0,11.0,4.0
3,32.0,1.0,4.0
3,32.0,10.0,4.0
3,32.0,12.0,4.0
2,21.0,7.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,31.0,6.0,4.0
3,32.0,8.0,4.0
2,22.0,11.0,4.0
1,12.0,10.0,4.0
3,31.0,8.0,4.0
3,32.0,6.0,4.0
3,32.0,10.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,31.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,31.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,3.0,4.0
2,21.0,5.0,4.0
3,32.0,11.0,4.0
3,32.0,9.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,3.0,4.0
3,32.0,6.0,4.0
3,32.0,1.0,4.0
3,31.0,10.0,4.0
3,32.0,5.0,4.0
3,32.0,9.0,4.0
3,32.0,11.0,4.0
3,32.0,5.0,4.0
2,22.0,2.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,31.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,1.0,4.0
3,32.0,10.0,4.0
3,32.0,12.0,4.0
3,32.0,6.0,4.0
3,32.0,3.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,3.0,4.0
3,32.0,12.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,1.0,4.0
3,32.0,11.0,4.0
2,22.0,10.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,2.0,4.0
2,22.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,8.0,4.0
3,31.0,8.0,4.0
3,32.0,3.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
2,21.0,7.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
1,11.0,4.0,4.0
3,31.0,13.0,4.0
3,32.0,13.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
1,11.0,12.0,4.0
2,22.0,12.0,4.0
1,11.0,1.0,4.0
3,32.0,3.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,6.0,4.0
3,31.0,11.0,4.0
3,31.0,11.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,2.0,4.0
3,31.0,6.0,4.0
3,31.0,5.0,4.0
2,22.0,9.0,4.0
3,32.0,3.0,4.0
3,32.0,5.0,4.0
3,32.0,13.0,4.0
3,32.0,13.0,4.0
3,32.0,5.0,4.0
3,32.0,7.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
1,11.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,12.0,4.0
3,32.0,9.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,13.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
1,11.0,10.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
1,12.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,8.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,3.0,4.0
3,31.0,5.0,4.0
3,32.0,7.0,4.0
3,32.0,4.0,4.0
3,31.0,3.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,31.0,6.0,4.0
3,32.0,6.0,4.0
1,11.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,8.0,4.0
2,22.0,7.0,4.0
1,11.0,7.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,31.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,11.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
1,11.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,31.0,4.0,4.0
3,32.0,3.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,12.0,4.0
3,32.0,6.0,4.0
3,32.0,10.0,4.0
3,32.0,9.0,4.0
3,32.0,9.0,4.0
3,31.0,5.0,4.0
3,32.0,7.0,4.0
3,32.0,7.0,4.0
2,22.0,4.0,4.0
3,31.0,4.0,4.0
2,22.0,6.0,4.0
3,31.0,11.0,4.0
2,21.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
2,21.0,8.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
2,21.0,12.0,4.0
3,31.0,1.0,4.0
3,31.0,1.0,4.0
2,21.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,6.0,4.0
3,31.0,9.0,4.0
3,32.0,3.0,4.0
3,32.0,4.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
1,11.0,6.0,4.0
1,11.0,5.0,4.0
3,31.0,5.0,4.0
3,32.0,7.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
3,31.0,2.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,8.0,4.0
3,31.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
3,32.0,10.0,4.0
2,22.0,8.0,4.0
3,32.0,5.0,4.0
1,11.0,5.0,4.0
3,32.0,3.0,4.0
3,32.0,6.0,4.0
3,32.0,2.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,22.0,13.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,31.0,10.0,4.0
3,32.0,1.0,4.0
3,31.0,1.0,4.0
3,32.0,11.0,4.0
2,22.0,12.0,4.0
2,22.0,6.0,4.0
3,31.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,8.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,31.0,2.0,4.0
2,22.0,4.0,4.0
2,22.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
2,22.0,11.0,4.0
2,22.0,10.0,4.0
3,32.0,10.0,4.0
3,31.0,1.0,4.0
2,21.0,9.0,4.0
3,32.0,11.0,4.0
3,32.0,3.0,4.0
2,21.0,12.0,4.0
2,21.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,4.0,4.0
1,11.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
1,11.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,8.0,4.0
2,21.0,5.0,4.0
2,21.0,5.0,4.0
3,32.0,6.0,4.0
3,31.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,12.0,4.0
2,21.0,3.0,4.0
3,32.0,3.0,4.0
2,22.0,2.0,4.0
2,22.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,12.0,4.0
3,31.0,4.0,4.0
3,31.0,8.0,4.0
3,32.0,8.0,4.0
3,32.0,5.0,4.0
3,32.0,6.0,4.0
3,32.0,10.0,4.0
3,31.0,1.0,4.0
3,32.0,1.0,4.0
3,32.0,2.0,4.0
2,22.0,2.0,4.0
2,22.0,4.0,4.0
3,32.0,12.0,4.0
3,31.0,12.0,4.0
3,31.0,3.0,4.0
2,21.0,2.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,3.0,4.0
2,22.0,3.0,4.0
2,21.0,4.0,4.0
3,32.0,9.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,31.0,12.0,4.0
2,22.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,6.0,4.0
3,31.0,1.0,4.0
3,31.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,31.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,3.0,4.0
2,21.0,7.0,4.0
3,32.0,9.0,4.0
3,31.0,8.0,4.0
3,32.0,8.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
2,22.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
3,31.0,7.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,22.0,12.0,4.0
3,32.0,1.0,4.0
1,12.0,9.0,4.0
3,32.0,4.0,4.0
3,32.0,1.0,4.0
1,11.0,11.0,4.0
2,22.0,11.0,4.0
3,32.0,5.0,4.0
3,32.0,7.0,4.0
2,22.0,7.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
1,11.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,12.0,4.0
1,11.0,1.0,4.0
3,31.0,3.0,4.0
3,32.0,11.0,4.0
3,31.0,1.0,4.0
3,32.0,1.0,4.0
3,32.0,7.0,4.0
1,11.0,5.0,4.0
2,22.0,3.0,4.0
3,32.0,13.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,6.0,4.0
3,32.0,12.0,4.0
3,32.0,3.0,4.0
1,11.0,12.0,4.0
2,21.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,7.0,4.0
3,32.0,4.0,4.0
1,11.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
2,21.0,5.0,4.0
3,32.0,12.0,4.0
2,21.0,11.0,4.0
3,32.0,3.0,4.0
3,31.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
2,22.0,4.0,4.0
2,21.0,5.0,4.0
3,32.0,3.0,4.0
3,32.0,2.0,4.0
3,31.0,13.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,11.0,4.0
3,31.0,11.0,4.0
2,21.0,11.0,4.0
3,32.0,11.0,4.0
2,22.0,10.0,4.0
3,32.0,10.0,4.0
2,21.0,5.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,31.0,3.0,4.0
2,22.0,3.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,3.0,4.0
2,22.0,4.0,4.0
3,32.0,9.0,4.0
2,22.0,9.0,4.0
3,32.0,13.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,6.0,4.0
3,32.0,9.0,4.0
2,21.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,31.0,1.0,4.0
2,22.0,12.0,4.0
2,22.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,3.0,4.0
3,32.0,12.0,4.0
3,32.0,5.0,4.0
2,22.0,3.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,31.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,31.0,5.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,10.0,4.0
2,21.0,5.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,4.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,3.0,4.0
3,32.0,6.0,4.0
3,31.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,1.0,4.0
1,11.0,2.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,5.0,4.0
3,32.0,7.0,4.0
3,32.0,1.0,4.0
3,31.0,9.0,4.0
1,12.0,9.0,4.0
3,32.0,11.0,4.0
2,21.0,11.0,4.0
3,32.0,4.0,4.0
2,21.0,12.0,4.0
2,21.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,4.0,4.0
1,12.0,7.0,4.0
3,32.0,1.0,4.0
2,21.0,9.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
2,21.0,10.0,4.0
3,32.0,12.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,2.0,4.0
2,22.0,12.0,4.0
2,21.0,9.0,4.0
3,32.0,11.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
2,21.0,12.0,4.0
3,31.0,12.0,4.0
2,22.0,4.0,4.0
3,32.0,1.0,4.0
3,32.0,3.0,4.0
2,21.0,8.0,4.0
3,32.0,5.0,4.0
3,31.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,9.0,4.0
2,21.0,3.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,5.0,4.0
3,32.0,4.0,4.0
3,31.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,3.0,4.0
3,31.0,5.0,4.0
3,31.0,3.0,4.0
3,31.0,1.0,4.0
3,32.0,9.0,4.0
3,32.0,13.0,4.0
3,32.0,8.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,31.0,3.0,4.0
3,32.0,5.0,4.0
3,32.0,4.0,4.0
3,31.0,1.0,4.0
3,31.0,1.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,9.0,4.0
3,32.0,2.0,4.0
3,32.0,8.0,4.0
3,32.0,8.0,4.0
3,32.0,6.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,4.0,4.0
3,31.0,4.0,4.0
3,32.0,1.0,4.0
1,11.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,1.0,4.0
3,32.0,13.0,4.0
2,21.0,6.0,4.0
3,31.0,10.0,4.0
2,21.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,1.0,4.0
2,21.0,3.0,4.0
2,21.0,3.0,4.0
3,31.0,12.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,31.0,5.0,4.0
2,22.0,5.0,4.0
2,22.0,5.0,4.0
3,32.0,4.0,4.0
3,31.0,11.0,4.0
3,31.0,12.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,2.0,4.0
3,31.0,12.0,4.0
3,32.0,3.0,4.0
2,21.0,7.0,4.0
3,32.0,10.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,1.0,4.0
3,31.0,4.0,4.0
3,32.0,8.0,4.0
3,32.0,11.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,3.0,4.0
3,32.0,1.0,4.0
2,22.0,2.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,1.0,4.0
2,22.0,1.0,4.0
3,32.0,9.0,4.0
3,32.0,9.0,4.0
1,12.0,6.0,4.0
1,12.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,10.0,4.0
3,31.0,4.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
2,22.0,7.0,4.0
3,32.0,7.0,4.0
3,31.0,6.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,9.0,4.0
3,32.0,4.0,4.0
1,11.0,4.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,9.0,4.0
3,32.0,12.0,4.0
2,21.0,7.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,10.0,4.0
2,21.0,1.0,4.0
2,22.0,4.0,4.0
3,31.0,4.0,4.0
3,31.0,12.0,4.0
2,22.0,3.0,4.0
3,32.0,3.0,4.0
2,21.0,5.0,4.0
2,21.0,5.0,4.0
2,22.0,6.0,4.0
3,32.0,11.0,4.0
3,31.0,10.0,4.0
3,31.0,10.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
1,11.0,3.0,4.0
3,32.0,12.0,4.0
3,32.0,5.0,4.0
3,32.0,9.0,4.0
3,32.0,9.0,4.0
3,32.0,2.0,4.0
2,21.0,4.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,31.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
3,31.0,5.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,12.0,4.0
2,22.0,3.0,4.0
3,32.0,3.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,3.0,4.0
2,22.0,13.0,4.0
2,21.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,1.0,4.0
3,32.0,4.0,4.0
3,32.0,7.0,4.0
3,31.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
3,31.0,5.0,4.0
2,22.0,5.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
2,22.0,4.0,4.0
3,32.0,7.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
2,22.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,5.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
2,22.0,5.0,4.0
3,32.0,9.0,4.0
3,31.0,12.0,4.0
3,32.0,1.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,3.0,4.0
2,22.0,5.0,4.0
3,31.0,4.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
2,22.0,9.0,4.0
2,21.0,4.0,4.0
2,21.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
1,11.0,3.0,4.0
3,32.0,1.0,4.0
2,21.0,2.0,4.0
3,32.0,7.0,4.0
3,32.0,13.0,4.0
3,32.0,13.0,4.0
3,31.0,8.0,4.0
3,32.0,8.0,4.0
1,11.0,8.0,4.0
2,22.0,6.0,4.0
3,32.0,11.0,4.0
3,31.0,1.0,4.0
2,21.0,4.0,4.0
3,31.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,1.0,4.0
2,22.0,4.0,4.0
1,11.0,4.0,4.0
3,31.0,3.0,4.0
3,32.0,2.0,4.0
3,32.0,3.0,4.0
3,31.0,13.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,6.0,4.0
3,31.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,1.0,4.0
3,32.0,1.0,4.0
2,22.0,12.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
3,32.0,9.0,4.0
2,22.0,9.0,4.0
2,21.0,5.0,4.0
3,32.0,5.0,4.0
3,31.0,3.0,4.0
3,31.0,1.0,4.0
3,31.0,3.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
3,32.0,11.0,4.0
3,31.0,11.0,4.0
2,21.0,12.0,4.0
3,31.0,12.0,4.0
3,31.0,9.0,4.0
3,31.0,9.0,4.0
3,32.0,3.0,4.0
3,32.0,13.0,4.0
1,11.0,11.0,4.0
3,31.0,11.0,4.0
3,31.0,10.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
2,22.0,5.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,31.0,12.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
2,22.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,2.0,4.0
3,32.0,6.0,4.0
3,32.0,11.0,4.0
2,21.0,11.0,4.0
2,21.0,10.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,12.0,4.0
3,32.0,5.0,4.0
2,21.0,12.0,4.0
3,32.0,4.0,4.0
3,32.0,3.0,4.0
3,32.0,3.0,4.0
3,32.0,8.0,4.0
3,31.0,11.0,4.0
3,32.0,11.0,4.0
3,32.0,10.0,4.0
3,32.0,1.0,4.0
2,22.0,4.0,4.0
3,32.0,4.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
2,22.0,4.0,4.0
2,21.0,3.0,4.0
3,31.0,8.0,4.0
3,32.0,8.0,4.0
3,32.0,10.0,4.0
3,32.0,10.0,4.0
3,32.0,5.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
3,31.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,21.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,4.0,4.0
3,31.0,3.0,4.0
2,22.0,13.0,4.0
3,32.0,8.0,4.0
2,22.0,6.0,4.0
2,21.0,6.0,4.0
3,32.0,6.0,4.0
3,32.0,12.0,4.0
3,32.0,12.0,4.0
2,22.0,12.0,4.0
3,32.0,12.0,4.0
3,32.0,1.0,4.0
2,22.0,5.0,4.0
3,32.0,5.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
1,12.0,7.0,4.0
3,32.0,11.0,4.0
3,31.0,11.0,4.0
3,32.0,12.0,4.0
2,21.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,4.0,4.0
3,32.0,3.0,4.0
3,32.0,8.0,4.0
